@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
173.1818102	,	-0.000685042	,	49.61120965
172.7759011	,	-0.00057987	,	49.57599895
172.3677735	,	-0.000583039	,	49.54121811
171.8825183	,	-0.000693222	,	49.50046377
171.3960057	,	-0.000695018	,	49.45898815
170.9866594	,	-0.00058478	,	49.42346752
170.5751557	,	-0.000587862	,	49.38839784
170.0831019	,	-0.000702934	,	49.34707838
169.5898525	,	-0.000704642	,	49.30502733
169.0954186	,	-0.000706334	,	49.26287508
168.6822362	,	-0.000590261	,	49.22701107
168.266967	,	-0.000593242	,	49.1916192
167.7672054	,	-0.000713945	,	49.14965615
167.2663203	,	-0.00071555	,	49.10695284
166.7643222	,	-0.00071714	,	49.06415445
166.2612218	,	-0.000718715	,	49.02126188
165.8440898	,	-0.000595903	,	48.98504573
165.4249507	,	-0.00059877	,	48.94932263
164.9167641	,	-0.000725981	,	48.90665357
164.4075354	,	-0.00072747	,	48.86323751
163.897275	,	-0.000728943	,	48.81973331
163.3859934	,	-0.000730402	,	48.77614186
162.965599	,	-0.000600563	,	48.73963342
162.5432759	,	-0.000603319	,	48.70363763
162.0271456	,	-0.000737329	,	48.66030247
161.5100535	,	-0.000738703	,	48.61621467
160.9920098	,	-0.000740062	,	48.57204556
160.4730246	,	-0.000741407	,	48.52779601
159.9531083	,	-0.000742738	,	48.4834669
159.529746	,	-0.000604803	,	48.4466933
159.1045421	,	-0.000607434	,	48.41045058
158.580041	,	-0.000749287	,	48.36641061
158.0546673	,	-0.000750534	,	48.32161532
157.5284312	,	-0.000751766	,	48.27674633
157.0013426	,	-0.000752984	,	48.23180449
156.4734116	,	-0.000754187	,	48.18679067
155.9446481	,	-0.000755376	,	48.14170573
155.4150624	,	-0.000756551	,	48.09655051
154.8846642	,	-0.000757712	,	48.05132587
154.3534638	,	-0.000758858	,	48.00603267
153.9271823	,	-0.000608974	,	47.96900359
153.4991836	,	-0.000611427	,	47.93252074
152.9637753	,	-0.000764869	,	47.88755296
152.4276227	,	-0.000765932	,	47.84183672
151.8907357	,	-0.000766982	,	47.79605772
151.353124	,	-0.000768017	,	47.7502168
150.8147975	,	-0.000769038	,	47.70431479
150.2757661	,	-0.000770045	,	47.65835254
149.7360396	,	-0.000771038	,	47.61233089
149.1956279	,	-0.000772017	,	47.56625069
148.6545409	,	-0.000772981	,	47.52011276
148.1127884	,	-0.000773932	,	47.47391797
147.5703803	,	-0.000774869	,	47.42766714
147.0273265	,	-0.000775791	,	47.38136113
146.4836367	,	-0.0007767	,	47.33500077
145.939321	,	-0.000777594	,	47.2885869
145.3943891	,	-0.000778474	,	47.24212038
144.8488509	,	-0.00077934	,	47.19560204
144.3027163	,	-0.000780192	,	47.14903273
143.7559952	,	-0.00078103	,	47.10241329
143.2086975	,	-0.000781854	,	47.05574456
142.6608329	,	-0.000782664	,	47.00902739
142.1124115	,	-0.000783459	,	46.96226262
141.563443	,	-0.000784241	,	46.91545109
141.0139374	,	-0.000785008	,	46.86859365
140.4639045	,	-0.000785761	,	46.82169114
139.9133542	,	-0.0007865	,	46.77474441
139.3622964	,	-0.000787225	,	46.7277543
138.8107411	,	-0.000787936	,	46.68072165
138.2586979	,	-0.000788633	,	46.63364732
137.706177	,	-0.000789316	,	46.58653213
137.1531881	,	-0.000789984	,	46.53937694
136.5997411	,	-0.000790639	,	46.4921826
136.045846	,	-0.000791279	,	46.44494995
135.4915125	,	-0.000791905	,	46.39767982
134.9367507	,	-0.000792517	,	46.35037307
134.3815704	,	-0.000793115	,	46.30303055
